num,index,date,open,high,low,close,volume,per,pbr,roe,market_kospi_ma5_ratio,market_kospi_ma20_ratio,market_kospi_ma60_ratio,market_kospi_ma120_ratio,bond_k3y_ma5_ratio,bond_k3y_ma20_ratio,bond_k3y_ma60_ratio,bond_k3y_ma120_ratio,close_ma5,volume_ma5,close_ma5_ratio,volume_ma5_ratio,close_ma10,volume_ma10,close_ma10_ratio,volume_ma10_ratio,close_ma20,volume_ma20,close_ma20_ratio,volume_ma20_ratio,close_ma60,volume_ma60,close_ma60_ratio,volume_ma60_ratio,close_ma120,volume_ma120,close_ma120_ratio,volume_ma120_ratio,open_lastclose_ratio,high_close_ratio,low_close_ratio,close_lastclose_ratio,volume_lastvolume_ratio
27,27,20160215,23080,23200,22880,23080,9157300,9.35,1.25,14.08,0.958182718,0.925595727,0.92365573,0.922189182,0.999728347,1.00292051,1.00594214,1.005557335,22936,11806930,0.00627834,-0.22441312,22988,12672110,0.004002088,-0.277365806,22972,11434612.5,0.004701376,-0.199159569,,,,,,,,,0.021238938,0.005199307,-0.008665511,0.021238938,-0.285233694
28,28,20160216,23160,23580,23140,23360,9020050,9.35,1.25,14.08,0.994044669,0.949235117,0.944409578,0.942758678,1.000678948,1.003814021,1.007035309,1.006720807,22984,11131350,0.016359206,-0.189671513,23034,11994555,0.014152991,-0.247987941,23002,11363060,0.015563864,-0.206195338,,,,,,,,,0.003466205,0.009417808,-0.009417808,0.012131716,-0.014988042
29,29,20160217,23580,24020,23380,23700,12303100,9.35,1.25,14.08,0.994100652,0.935946308,0.92848467,0.92612378,1.001103893,1.004334506,1.007791009,1.007563098,23068,11711030,0.02739726,0.050556612,23104,11039950,0.025796399,0.114416279,23055,11454555,0.027976578,0.074079264,,,,,,,,,0.009417808,0.01350211,-0.01350211,0.014554795,0.363972484
30,30,20160218,24060,24060,23560,23740,11124050,9.35,1.25,14.08,1.020935865,0.961635782,0.951494292,0.948181897,1.000262429,1.003014898,1.006697045,1.006547697,23296,10883220,0.019059066,0.022128561,23152,10852460,0.025397374,0.025025662,23116,11210222.5,0.02699429,-0.007686957,,,,,,,,,0.015189873,0.01347936,-0.00758214,0.001687764,-0.09583357
31,31,20160219,23740,23900,23480,23800,8842600,9.35,1.25,14.08,1.018970533,0.973559264,0.961490265,0.956916178,1.000325677,1.00300698,1.006925315,1.00685655,23536,10089420,0.011216859,-0.123576975,23220,10904980,0.024978467,-0.189122768,23135,11134247.5,0.028744327,-0.205819702,,,,,,,,,0,0.004201681,-0.013445378,0.00252738,-0.205091671
32,32,20160222,23800,23840,23320,23500,8744950,9.35,1.25,14.08,1.018526952,0.983438703,0.970659086,0.965144052,0.999873382,1.002516379,1.006607221,1.006615241,23620,10006950,-0.00508044,-0.126112352,23278,10906940,0.009536902,-0.198221499,23172,11153865,0.014155015,-0.215971325,,,,,,,,,0,0.014468085,-0.007659574,-0.012605042,-0.011043132
33,33,20160223,23580,23780,23460,23620,7383700,9.35,1.25,14.08,1.003945068,0.973326748,0.960067317,0.953816782,0.999303527,1.00156381,1.005799949,1.005877787,23672,9679680,-0.002196688,-0.237195858,23328,10405515,0.012517147,-0.290405136,23222,11047170,0.01713892,-0.331620678,,,,,,,,,0.003404255,0.00677392,-0.00677392,0.005106383,-0.155661267
34,34,20160224,23560,23580,23220,23440,7024200,9.35,1.25,14.08,1.00014907,0.977855568,0.963616817,0.956648626,1.000099512,1.001905478,1.006303621,1.006456694,23620,8623900,-0.00762066,-0.185496121,23344,10167465,0.004112406,-0.309149331,23226,11029560,0.009213812,-0.363147759,,,,,,,,,-0.00254022,0.005972696,-0.009385666,-0.00762066,-0.048688327
35,35,20160225,23440,23740,23440,23580,6681750,9.35,1.25,14.08,1.001267356,0.983959518,0.968069818,0.960546272,1.000361827,1.001932019,1.00653106,1.006759371,23588,7735440,-0.000339156,-0.13621591,23442,9309330,0.00588687,-0.282252321,23243,10963865,0.014498989,-0.390566192,,,,,,,,,0,0.006785411,-0.005937235,0.005972696,-0.048752883
36,36,20160226,23600,23740,23440,23440,8867200,9.35,1.25,14.08,1.004486367,0.990801539,0.973681001,0.965501841,1.000732607,1.002126161,1.006890359,1.007190916,23516,7740360,-0.003231842,0.145579792,23526,8914890,-0.00365553,-0.005349477,23278,11026227.5,0.006959361,-0.195808358,,,,,,,,,0.000848176,0.012798635,0,-0.005937235,0.327077487
37,37,20160229,23580,23880,23520,23560,14434000,9.35,1.25,14.08,1.007614086,0.996137713,0.978201304,0.96920772,1.00060588,1.001867466,1.006775528,1.007161939,23528,8878170,0.001360082,0.625785494,23574,9442560,-0.000593875,0.528610885,23281,11057335,0.011984021,0.305377833,,,,,,,,,0.005972696,0.013582343,-0.001697793,0.005119454,0.627796824
38,38,20160302,24000,24140,23920,23940,11818600,9.35,1.25,14.08,1.017775147,1.013863409,0.994809266,0.985211172,0.999936713,1.001115619,1.006168773,1.006651088,23592,9765150,0.014750763,0.210283508,23632,9722415,0.013033175,0.215603325,23333,10858485,0.026014657,0.088420714,,,,,,,,,0.018675722,0.008354219,-0.000835422,0.016129032,-0.181197173
39,39,20160303,24260,24400,24040,24400,10949550,9.35,1.25,14.08,1.020314489,1.025294842,1.005541432,0.995381875,0.99905059,0.999934388,1.005046152,1.005606041,23784,10550220,0.025899765,0.037850396,23702,9587060,0.029448992,0.142117604,23403,10313505,0.042601376,0.061671081,,,,,,,,,0.01336675,0,-0.014754098,0.019214703,-0.073532398
40,40,20160304,24400,24560,24040,24300,10074500,9.35,1.25,14.08,1.019110627,1.03362459,1.013219376,1.002277516,0.998543724,0.99901135,1.004067841,1.004712838,23928,11228770,0.01554664,-0.102795765,23758,9482105,0.022813368,0.062475052,23455,10167282.5,0.036026434,-0.009125595,,,,,,,,,0,0.010699588,-0.010699588,-0.004098361,-0.079916526
